,DATE,AIR_SYSTEM_DELAY,AIR_SYSTEM_DELAY_COST,INBOUND FLIGHTS,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,OUTBOUND FLIGHTS,GATE_REVENUE,SECURITY_DELAY_COST,AIRLINE_DELAY_REVENUE,PROFIT
69,3/11/2015,1048.0,29658.4,1067.0,53.0,4098.0,2722.0,188.0,1075.0,5476254.25,2624.56,173960.1,5617931.39
70,3/12/2015,2235.0,63250.5,1089.0,0.0,3470.0,2073.0,36.0,1088.0,5542478.72,0.0,147301.5,5626529.72
71,3/13/2015,3392.0,95993.6,1088.0,0.0,3253.0,2869.0,0.0,1090.0,5552667.1,0.0,138089.85,5594763.35
72,3/14/2015,1542.0,43638.6,923.0,0.0,2627.0,1501.0,12.0,920.0,4686654.8,0.0,111516.15000000001,4754532.350000001
73,3/15/2015,641.0,18140.3,1063.0,0.0,2110.0,996.0,16.0,1062.0,5410029.779999999,0.0,89569.5,5481458.9799999995
74,3/16/2015,352.0,9961.6,1088.0,0.0,2184.0,578.0,0.0,1091.0,5557761.289999999,0.0,92710.8,5640510.489999999
75,3/17/2015,271.0,7669.3,1072.0,0.0,1808.0,988.0,0.0,1067.0,5435500.7299999995,0.0,76749.6,5504581.029999999
76,3/18/2015,329.0,9310.7,1069.0,0.0,1804.0,670.0,38.0,1072.0,5460971.68,0.0,76579.8,5528240.779999999
77,3/19/2015,2321.0,65684.3,1086.0,0.0,3491.0,2264.0,15.0,1088.0,5542478.72,0.0,148192.95,5624987.37
78,3/20/2015,3601.0,101908.3,1081.0,0.0,5881.0,4999.0,458.0,1081.0,5506819.39,0.0,249648.45,5654559.54
79,3/21/2015,334.0,9452.2,920.0,0.0,1986.0,677.0,0.0,923.0,4701937.369999999,0.0,84305.70000000001,4776790.869999999
80,3/22/2015,1803.0,51024.9,1061.0,0.0,2489.0,1137.0,63.0,1058.0,5389653.02,0.0,105658.05,5444286.169999999
81,3/23/2015,1206.0,34129.8,1080.0,0.0,2223.0,2024.0,411.0,1083.0,5517007.77,0.0,94366.35,5577244.319999999
82,3/24/2015,265.0,7499.5,1067.0,0.0,2452.0,629.0,0.0,1066.0,5430406.54,0.0,104087.40000000001,5526994.44
83,3/25/2015,1121.0,31724.3,1070.0,0.0,2543.0,1534.0,135.0,1073.0,5466065.869999999,0.0,107950.35,5542291.919999999
84,3/26/2015,1776.0,50260.8,1087.0,0.0,5374.0,3526.0,101.0,1087.0,5537384.529999999,0.0,228126.30000000002,5715250.029999999
85,3/27/2015,1664.0,47091.200000000004,1091.0,0.0,4583.0,2557.0,104.0,1093.0,5567949.67,0.0,194548.35,5715406.819999999
86,3/28/2015,411.0,11631.3,919.0,0.0,1928.0,781.0,0.0,922.0,4696843.18,0.0,81843.6,4767055.4799999995
87,3/29/2015,209.0,5914.700000000001,1062.0,0.0,2241.0,457.0,0.0,1059.0,5394747.21,0.0,95130.45000000001,5483962.96
88,3/30/2015,839.0,23743.7,1082.0,0.0,3320.0,1040.0,0.0,1083.0,5517007.77,0.0,140934.0,5634198.069999999
89,3/31/2015,642.0,18168.600000000002,1071.0,0.0,2612.0,796.0,56.0,1066.0,5430406.54,0.0,110879.40000000001,5523117.340000001
90,4/1/2015,318.0,8999.4,1068.0,0.0,2147.0,375.0,0.0,1071.0,5455877.489999999,0.0,91140.15000000001,5538018.239999999
91,4/2/2015,3121.0,88324.3,1078.0,0.0,3925.0,2949.0,268.0,1080.0,5501725.199999999,0.0,166616.25,5580017.149999999
92,4/3/2015,710.0,20093.0,1078.0,0.0,3204.0,1593.0,14.0,1078.0,5491536.819999999,0.0,136009.80000000002,5607453.619999999
93,4/4/2015,244.0,6905.2,815.0,0.0,1306.0,447.0,0.0,798.0,4065163.6199999996,0.0,55439.700000000004,4113698.1199999996
94,4/5/2015,227.0,6424.1,961.0,0.0,1518.0,484.0,0.0,977.0,4977023.63,0.0,64439.100000000006,5035038.63
95,4/6/2015,1023.0,28950.9,1082.0,0.0,1675.0,783.0,6.0,1084.0,5522101.96,0.0,71103.75,5564254.81
